Stock,YesterdayClose,Open,Bid,Offer,Price,percentChange,Low,High,52Low,52High,BandLow,BandHigh,BuyQuantity,Selld Quantity
cumminsindia,"745.30","748.75","762.55 (50)","762.00 (20)","762.55",,,"765.25",,,"670.80","819.80","2775","3633"
cumminsindia,"745.85","745.00","763.80 (288)","0.00 (0)","763.80",,,"767.00",,,"671.30","820.40"
piindustries,"1142.95","1142.90","1150.00 (1)","1169.00 (41)","1170.30",,,"1180.00",,"1180.00","914.40","1,371.50","3908","439"
piindustries,"1143.05","1140.20","0.00 (0)","1170.05 (2128)","1170.05",,,"1180.00",,"1180.00","914.45","1,371.65"
dilipbuildcon,"435.85","437.70","441.00 (11)","443.35 (10)","443.35",,,"460.60",,,"348.70","523.00","1709","887"
dilipbuildcon,"435.45","440.00","0.00 (0)","445.10 (1629)","445.10",,,"461.60",,,"348.40","522.50"
newindiaassurancecompany,"154.15","155.00","155.35 (1)","157.25 (3)","157.25",,,"159.00",,,"123.35","184.95","5869","1282"
newindiaassurancecompany,"154.15","157.90","0.00 (0)","157.50 (1080)","157.50",,,"159.00",,,"123.35","184.95"
avenuesupermarts,"1302.35","1305.05","1331.95 (196)","1331.95 (25)","1331.95",,,"1335.00",,,"1,041.90","1,562.80","5260","1802"
avenuesupermarts,"1305.00","1306.40","0.00 (0)","1330.60 (1377)","1330.60",,,"1334.20",,,"1,044.00","1,566.00"
rajeshexports,"670.10","674.95","677.10 (200)","680.00 (56)","681.90",,,"687.00",,,"536.10","804.10","1.04 L","212"
rajeshexports,"669.30","673.00","0.00 (0)","681.40 (1096)","681.40",,,"687.90",,,"535.45","803.15"
indianbank,"259.85","260.00","262.00 (3)","263.95 (229)","263.95",,,"267.15",,,"233.90","285.80","4321","1542"
indianbank,,,,,,,,,,,,
bhartiinfratel,"271.15","271.00","272.00 (1)","277.00 (1)","275.25",,,"276.15",,,"244.05","298.25","2162","525"
bhartiinfratel,"271.35","270.65","0.00 (0)","275.05 (264)","275.05",,,"276.00",,,"244.25","298.45"
manappuramfinance,"140.00","140.00","140.85 (2)","141.60 (1,675)","141.60",,,"143.80",,"143.80","126.00","154.00","1365","20.29 K"
manappuramfinance,"140.20","139.50","0.00 (0)","142.00 (6078)","142.00",,,"143.90",,"143.90","126.20","154.20"
nmdc,"105.80","106.85","106.20 (50)","106.70 (1,719)","106.70",,,"108.85",,,"95.25","116.35","7951","45.66 K"
nmdc,,,,,,,,,,,,
alkemlaboratories,"1796.70","1792.30","1765.00 (1)","1813.55 (53)","1813.55",,,"1824.50",,,"1,437.40","2,156.00","1155","175"
alkemlaboratories,"1799.75","1805.00","0.00 (0)","1819.60 (599)","1819.60",,,"1831.20",,,"1,439.80","2,159.70"
icicilombardgeneralinsurancecompany,"1149.25","1160.00","1155.10 (5)","1162.75 (84)","1162.75",,,"1175.25",,,"919.40","1,379.10","31.31 K","5725"
icicilombardgeneralinsurancecompany,"1153.30","1160.50","0.00 (0)","1164.30 (173)","1164.30",,,"1175.00",,,"922.65","1,383.95"
rec,"155.20","156.00","156.40 (100)","156.50 (1,120)","156.60",,,"157.80",,,"139.70","170.70","6407","22.38 K"
rec,"155.35","155.00","0.00 (0)","156.65 (610)","156.65",,,"157.85",,,"139.85","170.85"
larsentoubroinfotech,"1758.00","1777.00","1770.00 (2)","1770.00 (23)","1770.00",,,"1788.35",,,"1,406.40","2,109.60","4017","11.53 K"
larsentoubroinfotech,"1759.40","1760.00","0.00 (0)","1772.25 (215)","1772.25",,,"1790.95",,,"1,407.55","2,111.25"
punjabnationalbank,"76.25","76.50","76.20 (50)","76.55 (738)","76.55",,,"77.70",,,"68.65","83.85","29.77 K","25.07 K"
punjabnationalbank,"76.20","76.40","0.00 (0)","76.75 (67613)","76.75",,,"77.80",,,"68.60","83.80"
sunpharmaceuticalindustries,"390.10","390.00","392.35 (2,077)","392.35 (443)","392.35",,,"394.90",,,"351.10","429.10","15.16 K","6012"
sunpharmaceuticalindustries,"389.75","390.00","0.00 (0)","392.55 (679)","392.55",,,"394.85",,,"350.80","428.70"
bharatelectronics,"110.05","110.00","110.60 (13)","110.70 (539)","110.70",,,"111.55",,,"99.05","121.05","16.32 K","33.09 K"
bharatelectronics,"110.05","109.75","0.00 (0)","110.80 (8587)","110.80",,,"111.60",,,"99.05","121.05"
graphiteindia,"417.10","416.60","420.30 (2)","420.30 (229)","420.30",,,"425.20",,,"333.70","500.50","29.45 K","12.66 K"
graphiteindia,"417.25","417.75","420.10 (77)","0.00 (0)","420.10",,,"424.90",,,"333.80","500.70"
vedanta,"168.35","168.35","167.70 (50)","168.90 (140)","169.60",,,"171.30",,,"151.55","185.15","11.2 K","21.15 K"
vedanta,"168.45","168.50","0.00 (0)","169.55 (21930)","169.55",,,"171.40",,,"151.65","185.25"
futureconsumer,"40.30","40.20","40.35 (2,557)","40.50 (443)","40.50",,,"41.05",,,"32.25","48.35","36.44 K","11.23 K"
futureconsumer,,,,,,,,,,,,
larsentoubro,"1516.95","1520.20","1527.10 (280)","1529.15 (178)","1529.15",,,"1538.80",,,"1,365.30","1,668.60","8233","16.98 K"
larsentoubro,"1517.55","1521.00","0.00 (0)","1526.30 (1401)","1526.30",,,"1539.90",,,"1,365.80","1,669.30"
containercorporationindia,,,,,,,,,,,,,,
containercorporationindia,"534.95","533.20","0.00 (0)","537.95 (496)","537.95",,,"540.80",,,"481.50","588.40"
glenmarkpharma,"521.90","525.80","525.00 (25)","526.80 (1,000)","526.80",,"517.60","532.50","517.60",,"469.75","574.05","2553","1860"
glenmarkpharma,"523.20","523.20","525.75 (43)","0.00 (0)","525.75",,"518.20","533.00","518.20",,"470.90","575.50"
canarabank,"262.30","262.00","262.00 (13)","263.35 (34)","263.35",,,"266.80",,,"236.10","288.50","4467","13.92 K"
canarabank,"262.25","260.10","0.00 (0)","263.30 (4217)","263.30",,,"266.95",,,"236.05","288.45"
powergridcorporationindia,"193.75","194.40","194.05 (100)","194.60 (134)","194.60",,,"196.95",,,"174.40","213.10","2.52 L","79.24 K"
powergridcorporationindia,"193.85","194.00","0.00 (0)","194.60 (694)","194.60",,,"196.95",,,"174.50","213.20"
adaniportsspecialeconomiczone,"424.75","425.00","426.50 (81)","427.45 (15)","426.25",,,"428.00",,,"382.30","467.20","4080","4148"
adaniportsspecialeconomiczone,"424.95","424.95","426.40 (349)","0.00 (0)","426.40",,,"428.15",,,"382.50","467.40"
lupin,"719.30","720.00","722.25 (40)","725.35 (7)","722.25",,,"724.80",,,"647.40","791.20","3914","2574"
lupin,"720.80","723.00","723.20 (704)","0.00 (0)","723.20",,,"725.90",,,"648.75","792.85"
adanipower,"48.35","48.75","48.00 (50)","48.20 (790)","48.50",,,"50.00",,,"43.55","53.15","9540","52.83 K"
adanipower,"48.35","48.50","0.00 (0)","48.50 (80169)","48.50",,,"50.00",,,"43.55","53.15"
oilnaturalgascorporation,"168.95","170.20","168.90 (967)","168.90 (13)","168.90",,,"170.85",,,"152.10","185.80","5321","18.48 K"
oilnaturalgascorporation,"168.95","168.95","0.00 (0)","169.30 (3971)","169.30",,,"171.00",,,"152.10","185.80"
abbindia,"1513.10","1524.00","1502.00 (10)","1509.80 (141)","1509.80",,,"1544.00",,,"1,210.50","1,815.70","3862","1318"
abbindia,"1508.85","1513.00","0.00 (0)","1511.45 (448)","1511.45",,,"1544.35",,,"1,207.10","1,810.60"
unionbankindia,"72.65","73.00","72.25 (107)","72.70 (795)","72.70",,,"74.10",,,"65.40","79.90","9524","34.72 K"
unionbankindia,"72.70","72.80","0.00 (0)","72.80 (48522)","72.80",,,"74.10",,,"65.45","79.95"
gailindia,"308.15","308.30","308.70 (195)","308.70 (140)","308.70",,,"311.50",,,"277.35","338.95","5161","11.82 K"
gailindia,"308.10","308.50","0.00 (0)","308.50 (981)","308.50",,,"311.55",,,"277.30","338.90"
wipro,"298.80","298.55","299.10 (267)","299.60 (25)","298.95",,,"301.55",,"301.55","268.95","328.65","54.48 K","55.68 K"
wipro,"298.40","298.75","298.80 (26810)","0.00 (0)","298.80",,,"301.60",,"301.60","268.60","328.20"
upl,"1004.75","1005.10","1004.60 (13)","1004.60 (200)","1004.60",,,"1013.25",,,"904.30","1,105.20","2321","2068"
upl,"1005.00","1005.00","0.00 (0)","1006.00 (560)","1006.00",,,"1014.50",,,"904.50","1,105.50"
shriramtransportfinancecorporation,"1082.75","1080.10","1075.00 (1)","1081.55 (76)","1081.55",,,"1103.95",,,"974.50","1,191.00","2535","753"
shriramtransportfinancecorporation,"1083.85","1080.00","0.00 (0)","1084.95 (594)","1084.95",,,"1106.25",,,"975.50","1,192.20"
infoedgeindia,,,,,,,,,,,,,,
infoedgeindia,"2189.55","2191.00","2190.70 (153)","0.00 (0)","2190.70",,,"2224.80",,,"1,751.65","2,627.45"
proctergamblehygienehealthcare,,,,,,,,,,,,,,
proctergamblehygienehealthcare,"11041.85","11091.40","0.00 (0)","0.00 (0)","11045.45",,,"11099.90",,,"8,833.50","13,250.20"
sbilifeinsurancecompany,"694.45","701.90","697.50 (50)","698.60 (24)","698.60",,,"701.90",,,"555.60","833.30","3182","9195"
sbilifeinsurancecompany,"699.35","699.95","0.00 (0)","699.55 (130)","699.55",,,"701.00",,,"559.50","839.20"
